_id,code,attributes,period,index1,index2,index3,index4,index5
1,code,attributes,period,consumer price indices (to previous month),consumer price indices (to corresponding month of previous year),consumer price indices (to corresponding period of previous year),consumer price indices (to December of previous year),consumer price indices (to December 2010)
2,00,Consumer price indices,2015 01,103.1,128.5,128.5,103.1,135.0
3,00,Consumer price indices,2015 02,105.3,134.5,131.5,108.6,142.2
4,00,Consumer price indices,2015 03,110.8,145.8,136.3,120.3,157.5
5,00,Consumer price indices,2015 04,114.0,160.9,142.7,137.1,179.6
6,00,Consumer price indices,2015 05,102.2,158.4,146.0,140.1,183.5
7,00,Consumer price indices,2015 06,100.4,157.5,148.1,140.7,184.3
8,00,Consumer price indices,2015 07,99.0,155.3,149.1,139.3,182.4
9,00,Consumer price indices,2015 08,99.2,152.8,149.6,138.2,180.9
10,00,Consumer price indices,2015 09,102.3,151.9,149.9,141.4,185.1
11,00,Consumer price indices,2015 10,98.7,146.4,149.5,139.5,182.7
12,00,Consumer price indices,2015 11,102.0,146.6,149.2,142.3,186.4
13,00,Consumer price indices,2015 12,100.7,143.3,148.7,143.3,187.7
14,00,Consumer price indices,2016 01,100.9,140.3,140.3,100.9,189.4
15,00,Consumer price indices,2016 02,99.6,132.7,136.4,100.5,188.6
16,00,Consumer price indices,2016 03,101.0,120.9,130.8,101.5,190.5
17,00,Consumer price indices,2016 04,103.5,109.8,124.6,105.1,197.1
18,00,Consumer price indices,2016 05,100.1,107.5,120.7,105.2,197.3
19,00,Consumer price indices,2016 06,99.8,106.9,118.1,104.9,196.9
20,00,Consumer price indices,2016 07,99.9,107.9,116.5,104.8,196.8
21,00,Consumer price indices,2016 08,99.7,108.4,115.4,104.5,196.2
22,00,Consumer price indices,2016 09,101.8,107.9,114.5,106.4,199.7
23,00,Consumer price indices,2016 10,102.8,112.4,114.3,109.4,205.3
24,00,Consumer price indices,2016 11,101.8,112.1,114.1,111.4,209.0
25,00,Consumer price indices,2016 12,100.9,112.4,113.9,112.4,210.9
26,00,Consumer price indices,2017 01,101.1,112.6,112.6,101.1,213.2
27,00,Consumer price indices,2017 02,101.0,114.2,113.4,102.1,215.3
28,00,Consumer price indices,2017 03,101.8,115.1,113.9,103.9,219.2
29,00,Consumer price indices,2017 04,100.9,112.2,113.5,104.9,221.2
30,00,Consumer price indices,2017 05,101.3,113.5,113.5,106.2,224.0
31,00,Consumer price indices,2017 06,101.6,115.6,113.8,107.9,227.6
32,00,Consumer price indices,2017 07,100.2,115.9,114.1,108.2,228.1
33,00,Consumer price indices,2017 08,99.9,116.2,114.4,108.1,227.8
34,00,Consumer price indices,2017 09,102.0,116.4,114.6,110.2,232.4
35,00,Consumer price indices,2017 10,101.2,114.6,114.6,111.5,235.2
36,00,Consumer price indices,2017 11,100.9,113.6,114.5,112.5,237.3
37,00,Consumer price indices,2017 12,101.0,113.7,114.4,113.7,239.7
38,00,Consumer price indices,2018 01,101.5,114.1,114.1,101.5,243.3
39,00,Consumer price indices,2018 02,100.9,114.0,114.1,102.4,245.5
40,00,Consumer price indices,2018 03,101.1,113.2,113.8,103.5,248.2
41,00,Consumer price indices,2018 04,100.8,113.1,113.6,104.4,250.2
42,00,Consumer price indices,2018 05,100.0,111.7,113.2,104.4,250.2
43,00,Consumer price indices,2018 06,100.0,109.9,112.6,104.4,250.2
44,00,Consumer price indices,2018 07,99.3,108.9,112.1,103.6,248.4
45,00,Consumer price indices,2018 08,100.0,109.0,111.7,103.6,248.4
46,00,Consumer price indices,2018 09,101.9,108.9,111.4,105.6,253.1
47,00,Consumer price indices,2018 10,101.7,109.5,111.2,107.4,257.4
48,00,Consumer price indices,2018 11,101.4,110.0,111.1,108.9,261.0
49,00,Consumer price indices,2018 12,100.8,109.8,110.9,109.8,263.1
50,00,Consumer price indices,2019 01,101.0,109.2,109.2,101.0,265.7
51,00,Consumer price indices,2019 02,100.5,108.8,109.0,101.5,267.1
52,00,Consumer price indices,2019 03,100.9,108.6,108.9,102.4,269.5
53,00,Consumer price indices,2019 04,101.0,108.8,108.9,103.4,272.2
54,00,Consumer price indices,2019 05,100.7,109.6,109.0,104.2,274.1
55,00,Consumer price indices,2019 06,99.5,109.0,109.0,103.6,272.7
56,00,Consumer price indices,2019 07,99.4,109.1,109.0,103.0,271.1
57,00,Consumer price indices,2019 08,99.7,108.8,109.0,102.7,270.3
58,00,Consumer price indices,2019 09,100.7,107.5,108.8,103.4,272.2
59,00,Consumer price indices,2019 10,100.7,106.5,108.6,104.2,274.1
60,00,Consumer price indices,2019 11,100.1,105.1,108.3,104.3,274.3
61,00,Consumer price indices,2019 12,99.8,104.1,107.9,104.1,273.8
62,00,Consumer price indices,2020 01,100.2,103.2,103.2,100.2,274.3
63,00,Consumer price indices,2020 02,99.7,102.4,102.8,99.9,273.5
64,00,Consumer price indices,2020 03,100.8,102.3,102.6,100.7,275.7
65,00,Consumer price indices,2020 04,100.8,102.1,102.5,101.5,277.9
66,00,Consumer price indices,2020 05,100.3,101.7,102.3,101.8,278.7
67,00,Consumer price indices,2020 06,100.2,102.4,102.4,102.0,279.3
68,00,Consumer price indices,2020 07,99.4,102.4,102.4,101.4,277.6
69,00,Consumer price indices,2020 08,99.8,102.5,102.4,101.2,277.1
70,00,Consumer price indices,2020 09,100.5,102.3,102.4,101.7,278.4
71,00,Consumer price indices,2020 10,101.0,102.6,102.4,102.7,281.2
72,00,Consumer price indices,2020 11,101.3,103.8,102.5,104.1,284.9
73,00,Consumer price indices,2020 12,100.9,105.0,102.7,105.0,287.5
74,00,Consumer price indices,2021 01,101.3,106.1,106.1,101.3,291.2
75,00,Consumer price indices,2021 02,101.0,107.5,106.8,102.3,294.1
76,00,Consumer price indices,2021 03,101.7,108.5,107.4,104.1,299.1
77,00,Consumer price indices,2021 04,100.7,108.4,107.6,104.8,301.2
78,00,Consumer price indices,2021 05,101.3,109.5,108.0,106.1,305.1
