city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kyiv,50.45,30.5233,Ukraine,UA,"Kyiv, Misto",primary,2963199.0,2962180.0
Kharkiv,49.9925,36.2311,Ukraine,UA,Kharkivska Oblast,admin,1446107.0,1433886.0
Odesa,46.4775,30.7326,Ukraine,UA,Odeska Oblast,admin,1017699.0,1015826.0
Dnipro,48.4675,35.04,Ukraine,UA,Dnipropetrovska Oblast,admin,980948.0,980948.0
Donetsk,48.0028,37.8053,Ukraine,UA,Donetska Oblast,admin,929063.0,929063.0
Zaporizhzhia,47.85,35.1175,Ukraine,UA,Zaporizka Oblast,admin,741717.0,710052.0
Lviv,49.8425,24.0322,Ukraine,UA,Lvivska Oblast,admin,724314.0,724314.0
Kryvyi Rih,47.9086,33.3433,Ukraine,UA,Dnipropetrovska Oblast,minor,629695.0,603237.0
Sevastopol,44.605,33.5225,Ukraine,UA,"Sevastopol, Misto",admin,522057.0,522057.0
Mykolaiv,46.975,31.995,Ukraine,UA,Mykolaivska Oblast,admin,498748.0,470011.0
Mariupol,47.0958,37.5494,Ukraine,UA,Donetska Oblast,minor,449498.0,449498.0
Luhansk,48.5667,39.3333,Ukraine,UA,Luhanska Oblast,admin,417990.0,417990.0
Vinnytsia,49.2333,28.4833,Ukraine,UA,Vinnytska Oblast,admin,371855.0,370601.0
Makiivka,48.0556,37.9611,Ukraine,UA,Donetska Oblast,minor,343158.0,343158.0
Simferopol,44.9484,34.1,Ukraine,UA,"Krym, Avtonomna Respublika",admin,341799.0,340540.0
Poltava,49.5894,34.5514,Ukraine,UA,Poltavska Oblast,admin,317847.0,283402.0
Chernihiv,51.4939,31.2947,Ukraine,UA,Chernihivska Oblast,admin,294522.0,286899.0
Kherson,46.6425,32.625,Ukraine,UA,Khersonska Oblast,admin,291428.0,283649.0
Cherkasy,49.4444,32.0597,Ukraine,UA,Cherkaska Oblast,admin,276360.0,269836.0
Khmelnytskyi,49.4167,27.0,Ukraine,UA,Khmelnytska Oblast,admin,274176.0,274176.0
Chernivtsi,48.3,25.9333,Ukraine,UA,Chernivetska Oblast,admin,266550.0,265471.0
Sumy,50.9167,34.75,Ukraine,UA,Sumska Oblast,admin,265758.0,265758.0
Zhytomyr,50.25,28.6667,Ukraine,UA,Zhytomyrska Oblast,admin,264452.0,263507.0
Horlivka,48.3336,38.0925,Ukraine,UA,Donetska Oblast,minor,256714.0,256714.0
