year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0.0001,0.0001
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0003,0.0005,0.0005
15,0.0004,0.0005,0.0005,0.0005,0.0004,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,0.0007,0.0007,0.0008,0.0009,0.0009,0.001,0.001,0.0011,0.0011,0.0012,0.0014,0.0015,0.0016,0.0014,0.0015,0.0017,0.0015,0.0017,0.0015,0.0019,0.0025,0.0028,0.0034,0.0038,0.0041,0.0049,0.0046,0.0039,0.0035,0.0025,0.0021,0.0022,0.0022,0.0022,0.0024,0.0022,0.0023,0.0023
16,0.0025,0.0035,0.0043,0.0051,0.0038,0.0036,0.0031,0.0035,0.0041,0.004,0.0034,0.0032,0.0038,0.0044,0.0049,0.0045,0.005,0.0052,0.0052,0.0058,0.0059,0.0069,0.0071,0.007,0.0075,0.0078,0.0083,0.0085,0.0088,0.0095,0.009,0.0102,0.0122,0.0137,0.0145,0.0151,0.0159,0.0167,0.0156,0.0144,0.0128,0.0102,0.0093,0.0085,0.0084,0.0088,0.009,0.0086,0.0086,0.0094
17,0.0123,0.0138,0.0146,0.0215,0.0174,0.0176,0.016,0.0135,0.0172,0.0167,0.0161,0.0147,0.0161,0.0183,0.0196,0.0193,0.0195,0.0211,0.0217,0.0219,0.0231,0.0233,0.0251,0.0252,0.0263,0.0288,0.0311,0.0302,0.0314,0.0312,0.033,0.0356,0.0395,0.043,0.0446,0.0448,0.0452,0.0442,0.041,0.0372,0.0339,0.0273,0.025,0.0225,0.0224,0.0214,0.0228,0.0216,0.021,0.0222
18,0.0328,0.0419,0.0424,0.0484,0.0532,0.0478,0.0458,0.0428,0.0404,0.0482,0.0481,0.0461,0.0502,0.0515,0.0554,0.0549,0.0583,0.0581,0.0635,0.0623,0.067,0.0675,0.0704,0.0666,0.0695,0.0721,0.0784,0.0776,0.0779,0.0795,0.084,0.0881,0.0928,0.0919,0.0939,0.0908,0.0879,0.085,0.0804,0.0719,0.0641,0.0555,0.0509,0.0457,0.0445,0.0427,0.0431,0.0419,0.0424,0.0429
19,0.0586,0.068,0.0782,0.0783,0.0787,0.0928,0.0815,0.0792,0.0834,0.0773,0.0906,0.0894,0.1041,0.1055,0.1073,0.1066,0.1133,0.115,0.1198,0.1154,0.1232,0.1268,0.1346,0.1246,0.1269,0.1315,0.1342,0.1367,0.1404,0.1374,0.1501,0.1495,0.1508,0.1477,0.1417,0.1325,0.1257,0.1199,0.1136,0.1026,0.0948,0.0839,0.0772,0.0701,0.0682,0.0669,0.066,0.0618,0.0645,0.0655
20,0.1227,0.1234,0.1212,0.1382,0.131,0.1322,0.1469,0.1245,0.137,0.1383,0.1273,0.1451,0.1493,0.1643,0.1672,0.151,0.1608,0.1604,0.1648,0.1567,0.1659,0.177,0.1794,0.1694,0.1719,0.1747,0.1778,0.1694,0.1864,0.1801,0.1826,0.1831,0.1842,0.1789,0.1678,0.1514,0.1449,0.1358,0.1297,0.1189,0.1112,0.1013,0.0981,0.0883,0.0871,0.087,0.0852,0.0798,0.0807,0.0825
21,0.1446,0.1394,0.1382,0.1432,0.1437,0.1405,0.1287,0.1476,0.139,0.1484,0.1502,0.1466,0.1602,0.175,0.1853,0.172,0.1731,0.1719,0.1772,0.1689,0.1761,0.1826,0.1857,0.1785,0.1847,0.1913,0.1908,0.1835,0.1875,0.191,0.1971,0.1857,0.1853,0.1805,0.1674,0.1503,0.1372,0.1305,0.125,0.118,0.1108,0.105,0.1021,0.096,0.0945,0.0956,0.0965,0.0881,0.0908,0.0888
